rounds,EBDP,PPIC_alpha2.0,PPIC_alpha1.5,PPIC_alpha1.0,PPIC_alpha0.5,PPIC_alpha0.1
1,1.0,1.0,1.0,1.0,1.0,1.0
2,0.9972926684,0.9915115828,0.9928608128,0.9923719183,0.9924043577,0.9917879475
3,0.9834617178,0.9842060277,0.9837012837,0.983684267,0.9850340388,0.9822879883
4,0.9798541391,0.9756196451,0.9749638337,0.9755600263,0.9776360052,0.9787914032
5,0.9787302715,0.9675725956,0.9681719701,0.9705756158,0.9697415145,0.9749002289
6,0.9757351593,0.9595734548,0.9611608628,0.9621676936,0.9622513089,0.9673356045
7,0.9665617821,0.9522870625,0.9526225657,0.954104925,0.9551266641,0.9608473424
8,0.9617699963,0.9447669075,0.9450866909,0.9462084964,0.9490367411,0.9559570441
9,0.954760928,0.9372954933,0.9373073104,0.9378241736,0.9412548236,0.9514469272
10,0.9478356329,0.9292278014,0.9298829032,0.9302183548,0.9330808095,0.9442303793
11,0.9448811026,0.9218754229,0.9217365682,0.9235710157,0.9255957642,0.937261667
12,0.9378481709,0.9139859835,0.9139500671,0.9156748974,0.9181745212,0.9296357297
13,0.9354008633,0.9064398679,0.9066277166,0.9085067931,0.9106669485,0.9219414507
14,0.9270923045,0.8986794739,0.8990182211,0.9021002514,0.903883841,0.9135985779
15,0.9226025608,0.8907459163,0.8920522925,0.8946408062,0.899734625,0.9041082338
16,0.9136257494,0.8830541923,0.8844332248,0.887054167,0.8943493946,0.8931853341
17,0.9110346265,0.876037037,0.8779595129,0.8790332891,0.8878551848,0.8903123756
18,0.9089950074,0.8681839769,0.8713509677,0.8716942891,0.8825891091,0.8795918614
19,0.9053569509,0.8616770188,0.8643643352,0.8644551749,0.8762852427,0.8780335423
20,0.8993176369,0.8543855832,0.8576158194,0.858646781,0.8693189357,0.8674496499
21,0.8931945763,0.8467628955,0.8503020832,0.8511221347,0.8626859638,0.864830385
22,0.8877450048,0.8396381642,0.8429252451,0.8439779554,0.8566598209,0.8544769261
23,0.8820020136,0.8323212722,0.8356624752,0.8380385659,0.8495776987,0.8504665565
24,0.8758946035,0.8248430222,0.8282373287,0.8311532985,0.8427392285,0.8460240882
25,0.8698462101,0.8181901891,0.8207052251,0.8238697875,0.8359881508,0.843264832
26,0.8630433875,0.8110231635,0.8136403442,0.8174802885,0.830534432,0.8406525573
27,0.8605402325,0.8037492614,0.8068680694,0.8120879069,0.823467385,0.8317858833
28,0.8559991504,0.7966415714,0.7998629974,0.8054991923,0.8164974199,0.824699446
29,0.8493875949,0.789428473,0.7935312542,0.7988127998,0.8099636718,0.8217368266
30,0.8449463417,0.7821837924,0.7865600121,0.7918921472,0.803357312,0.8187878707
31,0.8393017663,0.7753494833,0.7794538463,0.7865578298,0.7977805845,0.8153216585
32,0.8363953967,0.7683762018,0.772354255,0.7803681726,0.7911169757,0.8070689289
33,0.8305901806,0.7614419795,0.7653929251,0.773393567,0.7842861729,0.8028363968
34,0.82434761,0.7544118191,0.7585118865,0.7667603787,0.7783017776,0.796305994
35,0.8253362311,0.747457008,0.7518662242,0.759991194,0.7723837732,0.7896340671
36,0.8192666493,0.7405999732,0.7451048695,0.7530524492,0.7655542408,0.7864003001
37,0.8136539328,0.7338840119,0.738151492,0.7467130166,0.7612728733,0.7784491495
38,0.8085198236,0.7271770026,0.731323899,0.740712495,0.7544199896,0.7746811713
39,0.8057131942,0.7207747536,0.7248599269,0.7340375996,0.748599089,0.7670676065
40,0.8067003313,0.7145334809,0.7195240397,0.7275478727,0.7420272487,0.7590332896
41,0.8027454041,0.7080178394,0.7133420185,0.7206725253,0.7369901112,0.7504633095
42,0.799253228,0.701308778,0.7069486895,0.7138280338,0.7321569836,0.7476872538
43,0.7940580069,0.6946023358,0.7010612225,0.7073463042,0.7265258055,0.7425492451
44,0.7912321907,0.6881425156,0.6945689593,0.7007754943,0.7211096275,0.7396834663
45,0.7883447733,0.6818710243,0.68816602,0.6939077007,0.7150293677,0.734952268
46,0.7843602078,0.6755280289,0.6818416702,0.6888475794,0.7084519868,0.7311353819
47,0.7790147547,0.6692128471,0.6756513815,0.6824129024,0.7017969993,0.7269013831
48,0.7730753924,0.6627452413,0.6693840686,0.6765550311,0.6976819969,0.7239315698
49,0.7690960417,0.6563073164,0.6630630953,0.6711353558,0.6923939545,0.7182514521
50,0.7639297674,0.6501710744,0.6574778277,0.6656636853,0.6869603228,0.7139327557
51,0.7588466059,0.6439792355,0.6514414044,0.66072117,0.6824562614,0.7098373816
52,0.7533522672,0.6385148829,0.6451282692,0.6541857832,0.6771804877,0.7028103272
53,0.7475760951,0.6322614941,0.639002354,0.6480116377,0.6717691834,0.6982809187
54,0.7445982088,0.6260883377,0.6331571467,0.6417768659,0.6670302829,0.6938911413
55,0.7384733309,0.6201677717,0.6279051574,0.635751732,0.660984589,0.6908492407
56,0.739414658,0.6140756543,0.6219969439,0.6297771025,0.6563248894,0.6838047502
57,0.7403463456,0.6080938562,0.6160755259,0.6242654217,0.6508947489,0.678077737
58,0.7362868543,0.6021914972,0.6100810886,0.6182486124,0.6455682586,0.6750678946
59,0.7322877511,0.596243916,0.6043826629,0.6123673604,0.6405148116,0.6704015811
60,0.7299976154,0.5903138841,0.5992361132,0.6063546043,0.6353407528,0.6673609692
61,0.7244177552,0.5844178646,0.5942227114,0.6013199608,0.6299979598,0.6623877796
