rounds,EBDP,PPIC_alpha2.0,PPIC_alpha1.5,PPIC_alpha1.0,PPIC_alpha0.5,PPIC_alpha0.1
100,437.6544929907,476.0199344973,477.1021871683,448.3982526142,434.0220308085,400.6988604343
200,691.9621641405,1001.498739694,998.5733664822,952.1820983794,856.4033874969,726.9001295759
300,1035.1904875372,1513.0452314306,1515.6539720915,1447.4417254404,1331.4327407753,1100.4487490405
400,1396.0792547972,1986.7731397132,2022.2933408401,1982.3611037084,1790.3410435092,1473.847321875
500,1778.1629696662,2494.1397554607,2480.8768424904,2479.8062823185,2233.5505412196,1839.844249936
600,2104.0076528639,2969.8258888797,2919.4459803392,2935.9417704657,2693.6748188633,2208.1406777932
700,2490.2719338959,3458.2185491536,3383.6394397814,3415.8852088912,3132.7890814856,2547.4266258817
800,2842.4569582885,3853.2077216155,3832.9285278224,3874.6873984535,3524.9576999082,2906.3877987385
900,3188.0413921442,4275.7107523757,4295.8921311211,4329.2299109558,3972.0013764444,3270.8602110572
1000,3553.7838756429,4659.2847953274,4709.4318533905,4732.0549538291,4363.5140150598,3608.085481275
1100,3891.4526869267,5006.3621737906,5142.346164138,5119.3010712716,4775.4480963518,3963.7314202668
1200,4247.3945375872,5385.0127069198,5535.4493644133,5560.0526989818,5208.9172808869,4315.5077306608
1300,4572.9284246655,5781.1020931347,5852.2123594037,5943.8829274554,5572.5553221521,4683.223763229
1400,4931.924736356,6126.9317276121,6232.5630424839,6290.0646912191,5952.8414504121,5008.682303623
1500,5238.8039564629,6440.3966487233,6584.3208364405,6676.4097627126,6285.224764845,5396.751621994
1600,5536.873746992,6763.6172318946,6935.1120320159,7067.6635809251,6657.3058508773,5701.3082399897
1700,5865.081182645,7083.74983795,7338.4423112143,7405.8021125528,7065.4605199824,6081.7412726034
1800,6128.5326298885,7439.5171032862,7696.0437107666,7737.6297462599,7427.1305248932,6412.186020633
1900,6457.3535853533,7784.3559405059,7992.3522414924,8092.1019488904,7779.5973430486,6776.0530833497
2000,6759.7318887666,8159.4850963315,8318.909278232,8480.1536852745,8175.590650946,7115.8303597579
2100,7033.7249327461,8484.4939564252,8595.6718968955,8869.3654701918,8492.9456290816,7451.2263994725
2200,7353.3027510955,8764.6538743725,8969.247068751,9147.9141011683,8872.1451913377,7821.1152562645
2300,7609.6714595714,9057.0232004361,9309.1170861104,9494.6891033599,9228.2323598928,8089.0421717735
2400,7927.0823699895,9357.0131373552,9683.5523323164,9851.5136484006,9628.882926342,8535.7936504251
2500,8251.9004905738,9705.3246371714,10010.2101699454,10129.3879589951,10002.1228226987,8840.5269894148
2600,8606.903083034,9982.5168788435,10285.3941971541,10422.4399576606,10345.1337403939,9174.1709886681
2700,8934.4470527457,10327.8408621646,10622.7730069152,10694.4868504123,10671.6370719242,9431.5726923052
2800,9226.4822362072,10554.225753901,10909.0740029096,11031.0539810596,10959.0920403794,9770.2359843772
2900,9496.1940017695,10824.1554422418,11248.472231088,11396.025100698,11285.1269203907,10129.1020266378
3000,9855.9486316756,11127.9611933857,11587.636116544,11727.9742785952,11630.3006452881,10462.7527675159
3100,10175.5007814395,11473.3411759574,11905.9415183598,12115.960034229,11980.0756075029,10756.1023491867
3200,10481.0161661353,11797.9658371781,12230.6968142467,12399.4939694167,12273.2971501719,11084.0843249918
3300,10839.0634886491,12067.3781851921,12537.0443529248,12742.1082626209,12631.8393854,11385.9667115303
3400,11119.1187057517,12329.276181024,12825.2074971962,13029.8921597962,12950.3551816164,11648.2890627989
3500,11416.6603370724,12623.2663783344,13178.7116530418,13360.045273894,13281.945569108,11966.6787103394
3600,11726.2864877541,12915.661878448,13485.6191108404,13711.0518143533,13687.0604247522,12311.3361559749
3700,12044.8743116656,13163.2810880409,13772.3959519683,14082.6108003774,14023.1040476473,12560.6408294753
3800,12324.773366688,13445.1548623867,14025.4901143187,14363.6816462027,14417.3888454392,12886.1889672682
3900,12669.3505841113,13714.3400953337,14313.1880652238,14644.9491408562,14755.4020172189,13181.3038184773
4000,12946.9353254466,14048.7113200321,14655.1782177434,14890.0404853834,15092.6081671708,13450.6182461539
4100,13253.3277036779,14361.5222325686,14890.4408444838,15250.9637447797,15414.2946145246,13722.733660566
4200,13536.2422748897,14504.1706466568,15161.1098772027,15589.0690671176,15757.9029582314,14079.9484888341
4300,13777.6111772471,14742.4084431988,15405.3280118717,15911.9930765966,16071.7110739356,14339.8852493608
4400,14084.8735922533,15031.7576355541,15762.5837088873,16247.2952776514,16317.5878680988,14669.7664764546
4500,14344.7351604498,15291.8793551105,16059.9557462824,16660.3033155448,16656.0125685225,14966.4095117943
4600,14586.2841085521,15486.9690445558,16334.3878717646,16923.1843731377,16946.0279466845,15237.3345608416
4700,14853.7591282191,15685.8759776233,16593.1190944555,17246.4898599289,17296.0170376972,15534.5563596367
4800,15159.8576237466,15945.2494261308,16834.4435408775,17551.5297731294,17628.4975437779,15842.2051982358
4900,15428.1038018584,16245.8476601523,17090.9027934738,17874.4981180274,17922.9978594747,16119.3292472423
5000,15790.4248197072,16538.4527814886,17404.241672914,18141.2050979665,18201.3949836608,16458.7134776412
5100,16074.0604600875,16831.8816596753,17605.932336979,18369.8215680829,18519.0949404501,16793.931735429
5200,16367.4155480469,17069.2700507752,17913.1501226291,18658.6245135446,18847.2340843773,17078.0613272466
5300,16631.7935969562,17295.4114708283,18284.8784736513,18941.7942383328,19242.1431688345,17414.772441788
5400,16898.0501166662,17563.851568565,18519.4438046394,19204.4346420619,19556.3938185922,17729.096696314
5500,17237.4618743056,17821.9694360614,18783.3986348237,19497.4999291167,19852.1996610491,18054.0844740212
5600,17515.9105417432,18047.6613078645,19114.5777330535,19805.9736276016,20127.1419588189,18346.7428877656
5700,17854.2943446185,18276.4117099384,19413.5500200663,20185.0927933795,20433.9707764804,18597.309978169
5800,18123.3748020724,18596.7933607151,19659.4850309523,20472.7572365629,20814.7171576803,18911.0671693977
5900,18376.8006499978,18877.3096586168,19956.5297221038,20759.9488183596,21211.035658609,19231.7273192842
6000,18654.9692003901,19104.4904172095,20211.9734108866,21057.9161009359,21557.2447646325,19516.4781987308
6100,18991.051218685,19384.9414516292,20557.027920073,21338.3586888411,21920.390090439,19823.6888297654
6200,19238.5586668641,19631.7829753909,20887.4428678615,21590.7285743483,22253.5074785701,20083.4302383336
6300,19580.4704711665,19862.9118277871,21195.7012198368,21879.1092801441,22588.3360440433,20349.3337663746
6400,19874.7552481708,20075.6919152009,21518.2152922797,22140.7560045245,22862.2193049564,20649.2457988502
6500,20203.5473091107,20327.427362764,21763.6230792646,22461.8549082204,23152.4356870798,20895.9683659513
6600,20458.0739072155,20563.1677485421,21987.8276841229,22774.2336700821,23417.2355650382,21191.9601155982
6700,20760.8593481312,20846.0352307383,22285.3415505839,23048.9233456281,23689.7279541125,21431.926854149
6800,21044.8041671682,21138.2511843778,22519.186604661,23346.2404055351,23975.8164504842,21692.0348439472
6900,21337.1372222609,21399.1030264096,22787.615113274,23656.5312529891,24224.2915219105,22000.1138133298
7000,21637.4217862968,21680.6371096168,23148.1495058695,23966.1160384481,24526.1220796814,22236.945975462
7100,21891.7935069316,21939.698436373,23424.7294857021,24285.3268094943,24845.8799464918,22577.6089922903
7200,22217.6421389293,22156.6492375733,23690.139434095,24529.3014756985,25112.5673113909,22848.3316321959
7300,22521.1815994363,22383.9311166475,23936.5075874124,24725.2454455943,25383.7910889335,23126.9207914081
7400,22816.9231306854,22537.6670744008,24202.5647642491,25045.2714473829,25716.3161616366,23431.2677301877
7500,23119.880187588,22786.3135692854,24487.8250513353,25311.8504845171,26061.0421535331,23701.1508496418
7600,23402.9098022246,23015.6739227272,24802.2486277203,25591.927640787,26329.3240160321,23981.4743761798
7700,23702.0930023897,23254.247688788,25024.407838537,25908.9280957607,26565.106755023,24235.120686205
7800,24045.734247017,23502.9474978543,25270.1243502743,26148.2158759936,26846.5510913494,24641.8368446121
7900,24412.1433317311,23728.365694629,25545.3007728463,26364.7319633464,27144.6431071904,24881.5692855257
8000,24674.8800461626,23953.5494174779,25843.6448766058,26666.9637954248,27433.2732593708,25167.4728047691
8100,24973.7427771171,24161.2794494921,26098.4584473415,26944.6303626817,27728.2098686131,25372.273332187
8200,25227.8625433676,24346.1323365243,26373.5857178494,27191.0600644625,27978.1196370655,25690.114570694
8300,25512.6118655225,24585.4485374101,26597.2671078791,27479.0217144572,28221.6150846583,25981.4926498357
8400,25752.8675984803,24812.2766685267,26820.4016417875,27824.2991012475,28528.0336312048,26269.4571639212
8500,26056.8878375149,25083.1470818891,27064.4443131219,28135.2531349293,28852.6851624948,26540.44825544
8600,26305.7881391693,25276.3922285385,27370.6278188831,28487.3215896344,29084.1863697924,26906.773308243
8700,26592.0221203275,25526.3937873443,27669.9777398581,28715.8171094815,29388.7739600402,27141.7664594771
8800,26909.4403329558,25720.2532586703,27867.3388230646,28985.7690554672,29671.0370565651,27380.7584109983
8900,27189.31676559,25957.8829133604,28113.7754007128,29202.2876171613,29980.7157546067,27659.439602758
9000,27515.4366932467,26216.3135456423,28338.3002183149,29407.5102801773,30279.99921343,27948.877434514
9100,27798.5221262269,26419.7375200062,28568.440512304,29757.8594070541,30517.2785814961,28187.5876693092
9200,28085.8968419252,26622.7248051342,28793.8196399762,29991.2853152325,30815.5052239581,28470.4837063883
9300,28380.5673072219,26785.785985928,28997.4040148013,30302.1090071359,31087.0704557261,28751.0907671813
9400,28649.2797524832,27013.8715082765,29222.5549588408,30598.0054505867,31362.3244504636,29030.6485562503
9500,29014.4870700353,27240.4657153956,29477.1840147328,30898.6054367098,31677.2454680984,29323.0039710047
9600,29296.4346190755,27468.9083013834,29718.1361338413,31180.4347688645,31946.436860585,29621.2003827846
9700,29584.9840828473,27693.0724912643,29898.986170861,31491.0590227535,32218.4474143101,29920.0981431114
9800,29880.1526338081,27910.3743941956,30150.4044050618,31776.2034712459,32428.315771742,30168.119396485
9900,30157.102805994,28124.8465651183,30342.0343272442,32030.6104316328,32801.0521813923,30488.1188634474
10000,30390.8237382586,28321.8533075245,30671.3064268908,32266.4014270878,33063.777028266,30700.9668906496
10100,30659.6573825924,28568.0484422689,30819.7275552191,32528.9870212622,33319.8323415949,30964.9009175034
10200,30980.7068307608,28825.5049764443,31062.3077639621,32799.8435799793,33666.6099130208,31249.9461941405
10300,31164.5681823117,29010.3162784567,31260.2919785482,33077.2110607413,33957.4973882092,31490.9611225276
10400,31470.1773735925,29194.2232563185,31483.6433502116,33294.2628000852,34233.656080972,31720.9228694794
10500,31750.1011886592,29451.3056502856,31750.0595780646,33552.8564964043,34418.2213534093,31915.1943076813
10600,32026.1961108352,29623.920277434,31939.2563379051,33881.1890235734,34721.3594995853,32218.6328042175
10700,32306.9537267123,29763.7031571594,32141.6550652955,34141.065156442,35039.9982528717,32531.0927443454
10800,32597.0156640913,29959.9118474789,32404.3565686414,34376.1305718357,35368.0416066693,32773.3428798061
10900,32881.9201763184,30109.8228868233,32648.5423085336,34601.1260946899,35623.4555748418,33048.2449425407
11000,33158.6738603799,30305.0117220594,32767.3367070301,34881.6633044993,35917.7245340317,33316.9393666304
11100,33428.093847299,30497.222573864,32979.6342546486,35157.1026379223,36167.1014705725,33586.1657301649
11200,33720.0805989807,30810.1307901775,33191.4847957994,35410.6210920566,36424.5604915098,33827.6268867917
11300,34032.388172467,30983.0179610011,33445.4896868272,35688.8312496077,36753.524305382,34117.0125710822
11400,34352.2959634341,31200.0004167968,33657.4059662742,35929.5056401573,37043.2260588684,34372.6004261451
11500,34579.8674924385,31428.9722382228,33837.8748063018,36159.1262480203,37307.7004017193,34616.888078831
11600,34764.3003628884,31634.7837085591,34070.9850754869,36437.0729139502,37588.6098846274,34859.9026837076
11700,35076.6453465734,31828.2711382175,34316.2453074032,36728.2623532152,37861.992252914,35094.2647929148
11800,35367.7028151017,32011.1994303624,34528.3851126778,36937.0312801628,38135.6784755686,35387.4854304555
11900,35617.4636829302,32238.0875956854,34815.7393451512,37155.018641994,38455.8807255851,35627.4081681282
12000,35927.9325463242,32472.7433439205,34997.5267687201,37456.1712190523,38639.9968544456,35823.4190657088
12100,36186.0427753156,32653.8284079521,35187.2142501329,37705.1901417513,38926.1015613375,36108.9816684784
12200,36460.8586892183,32870.2428650429,35407.9093211144,37990.3930059106,39236.4966320467,36355.0031755792
12300,36814.8492041844,33055.3059652201,35588.9766745246,38175.3720893668,39530.7258529274,36628.7046317436
12400,37121.6056322358,33206.694824677,35847.1226645133,38380.2645892375,39799.7411034236,36887.3636959011
12500,37379.0289529084,33423.3586957802,36027.0181337126,38628.5124665948,40136.6943176234,37169.6867496036
12600,37653.240909786,33562.378171909,36213.5929646789,38948.2231539316,40404.0387943329,37389.9466242294
12700,37905.5221211634,33736.6056722227,36436.3691608037,39138.2994794189,40708.632252011,37584.5761802193
12800,38206.6973050314,33911.6965130809,36688.2964257537,39346.8125290253,40916.8464026625,37835.8671346377
12900,38467.9602955511,34064.3324456482,36908.0771357292,39549.9471507574,41142.3097932995,38038.8937852432
13000,38739.6029589247,34214.5612949807,37152.2691290265,39787.1283383583,41464.3946321077,38297.1504091297
13100,39057.1985353096,34345.1334625096,37395.1412452479,40045.7720047583,41755.4637302172,38586.6444543642
13200,39337.0264412345,34559.5925959929,37564.7432396169,40241.7374820706,42014.1509420226,38864.7206475046
13300,39613.2714409055,34687.8086117483,37831.0858785439,40471.7145291416,42258.1338656021,39119.7650947123
13400,39924.8070422273,34838.3229249653,38013.0188861743,40666.5325737131,42452.7277771287,39394.9815962551
13500,40215.8625078095,35011.2390335233,38233.6192622873,40943.7481211758,42710.7219467634,39635.2214653116
13600,40489.5659080782,35152.1407606684,38449.9921000455,41148.8597466882,42985.2375546729,39832.6412869965
13700,40797.2408313063,35302.3575709909,38777.4543613164,41392.7597581881,43249.1545439102,40079.1806834066
13800,41093.7130961406,35527.3302667602,39010.721380081,41628.4513698551,43464.5270660968,40325.2702560694
