rounds,EBDP,PPIC_alpha2.0,PPIC_alpha1.5,PPIC_alpha1.0,PPIC_alpha0.5,PPIC_alpha0.1
1,1.0,1.0,1.0,1.0,1.0,1.0
2,0.9998780991,0.9923567554,0.9924290621,0.9928005619,0.9924432696,0.9950485069
3,0.9941499792,0.9847106658,0.9847451253,0.9854085281,0.9846749493,0.9893306406
4,0.9886943086,0.9776081685,0.9767692481,0.9780279307,0.9772247979,0.9821795978
5,0.9840472396,0.9702333511,0.9690703977,0.9704589973,0.972504291,0.9780809118
6,0.9777161762,0.9627075983,0.9614586727,0.9629583166,0.9665866213,0.9707545619
7,0.9716338983,0.9549350823,0.9538529819,0.9572227385,0.9593089057,0.9630969376
8,0.9641123956,0.9470861567,0.9462739674,0.950017147,0.9521194808,0.95506997
9,0.9595790945,0.9405453591,0.9385159681,0.9434098471,0.9448752288,0.9478358444
10,0.9525336147,0.9329180569,0.9309097162,0.9366279403,0.9392737774,0.9432578927
11,0.9430063218,0.9257051087,0.9227768509,0.9301640953,0.9324672554,0.9361803482
12,0.932040238,0.9184101018,0.9142817861,0.9233271933,0.9256876954,0.9309920724
13,0.9299464025,0.9113713958,0.9061573889,0.9159074488,0.9208490849,0.9269502447
14,0.9257525516,0.9045297902,0.9009839499,0.9092489735,0.9137437542,0.9196651985
15,0.9207308139,0.8973674129,0.8953868106,0.9019676794,0.9073299588,0.9139103038
16,0.9186330941,0.8906428651,0.8895696472,0.8951744799,0.9010723726,0.9104261016
17,0.9130525134,0.8832679047,0.8818316379,0.8885130476,0.8953024374,0.9065964564
18,0.9046980476,0.8763316681,0.8754015218,0.8817893402,0.8909115303,0.9018959357
19,0.9001499875,0.8693286326,0.8675920538,0.8751561024,0.8846348277,0.8962412363
20,0.8952899039,0.8631720062,0.8607379576,0.868919373,0.8781610133,0.8908672
21,0.8885080554,0.8568050073,0.8528721569,0.8621809841,0.8715162138,0.8849177185
22,0.8802154237,0.8495455836,0.8449491312,0.8557811319,0.8665286387,0.8804943637
23,0.8739627833,0.8423463638,0.8373344885,0.8500029592,0.8609349074,0.8756689692
24,0.8684057669,0.8354682379,0.8294053569,0.8437145297,0.856051682,0.8707215492
25,0.8600716029,0.8292275095,0.8236061831,0.8368664207,0.8501880804,0.8657742313
26,0.8558563766,0.8228581977,0.8161276973,0.8294173232,0.8440983968,0.8623235265
27,0.8528543234,0.8164261451,0.8108631457,0.8241153433,0.8377567925,0.8556633513
28,0.848468129,0.8104695647,0.8031777391,0.8177107513,0.8326607089,0.8507988806
29,0.8456043862,0.8045203618,0.7953762331,0.8124114893,0.827140673,0.8454522628
30,0.8388472101,0.7982599369,0.7896464167,0.8063673804,0.8215957497,0.8394225567
31,0.831027272,0.792173874,0.7842328355,0.8009549956,0.8160955579,0.8356310267
32,0.8284196939,0.78591861,0.778368405,0.7952678496,0.8113529219,0.8302289371
33,0.8213183964,0.7794386432,0.7712247277,0.7889819923,0.8046040524,0.8309874085
34,0.8172054632,0.7729968231,0.7651808668,0.7826300253,0.7990432943,0.8251056926
35,0.8129644816,0.7667945582,0.759107834,0.7769794993,0.794263367,0.8204373298
36,0.8050627608,0.7606823849,0.7531611869,0.7712743588,0.7882381756,0.814133961
37,0.7975862801,0.7547838502,0.7480933469,0.7646148675,0.782388184,0.8099750711
38,0.7946158995,0.7483132566,0.7424840179,0.7584555975,0.776456782,0.8060747953
39,0.7892408434,0.7426015117,0.7366703376,0.7527290854,0.7711054301,0.8002846409
40,0.7831190479,0.7365445351,0.7312941983,0.7465312787,0.7650658664,0.7939303145
41,0.780715763,0.7301575839,0.7254637258,0.740541238,0.7589866089,0.788788936
42,0.7775764764,0.7242354368,0.7195796887,0.7353750366,0.7529719693,0.7834577038
43,0.7701073818,0.7182965886,0.713914579,0.7295161726,0.7475872125,0.7783763384
44,0.7654171772,0.7120372461,0.7074163759,0.7236330061,0.7421322401,0.7729545034
45,0.7588774523,0.7064156397,0.7017641871,0.7174896807,0.7369982905,0.7693054363
46,0.7562806023,0.7008321693,0.6965101499,0.7118292791,0.730961279,0.7651458306
47,0.7514107153,0.6946927707,0.6902463365,0.7064673883,0.7266902058,0.7598875648
48,0.7460821074,0.6886929264,0.6846392435,0.7009825909,0.7214434591,0.7548958494
49,0.7440256151,0.6836468802,0.6799817003,0.6953923485,0.7169685137,0.7494212002
50,0.7418418715,0.6776388239,0.674773761,0.6897438224,0.7112660905,0.7501814295
51,0.7355261188,0.6715300418,0.6699428893,0.6836640792,0.7069459231,0.7446617535
52,0.7311520479,0.6655228217,0.6645329707,0.6781855765,0.7020732052,0.740717498
53,0.7251990866,0.660508163,0.6598253224,0.6725218567,0.6971584344,0.7356052108
54,0.7206526584,0.654938946,0.6542616131,0.6663293744,0.6920638176,0.7302351371
55,0.7160361863,0.6498833772,0.648967297,0.6608371984,0.6872583717,0.7251206402
56,0.7116913038,0.6450364123,0.6435774506,0.655096791,0.6824258448,0.7194894817
57,0.7088635528,0.6397145048,0.6385408722,0.6489886242,0.6772099419,0.7146678132
58,0.7060565674,0.6346589348,0.633423725,0.6440828084,0.6795413102,0.7089617935
59,0.7076866011,0.6289335563,0.628485117,0.6389269357,0.674568798,0.703214854
60,0.7022803492,0.6235863342,0.6232735893,0.6328498686,0.6695392609,0.698449881
61,0.6989631825,0.6185545833,0.6178713614,0.628967761,0.6650067521,0.6993479332
62,0.6952730572,0.6132947554,0.6130398861,0.6235908446,0.6601563669,0.7009209115
63,0.6920451834,0.6081893987,0.6078284417,0.6183063842,0.6553257305,0.6977268969
64,0.6885101853,0.6027678074,0.6033826527,0.6142854031,0.6507076699,0.693016677
65,0.6901327497,0.5977262288,0.5980304767,0.60888552,0.6459396913,0.6874774799
66,0.6866669013,0.5927776734,0.5924510438,0.6042743941,0.6479418122,0.6836363192
67,0.6816930056,0.5876237507,0.5868925872,0.5991545106,0.6435170473,0.6798601224
68,0.6774153733,0.582542062,0.581783057,0.5934060161,0.6391872349,0.6753197864
69,0.6736445282,0.5776110137,0.5770375531,0.5888784323,0.6343163456,0.6701484855
70,0.6693096819,0.572715131,0.5726158908,0.5841010774,0.6298545808,0.6717086581
71,0.6662766198,0.5676977196,0.5675635227,0.5789861428,0.6254024734,0.6670568659
72,0.6679269871,0.5628707243,0.5626754303,0.573939864,0.6206596859,0.6619742414
73,0.6631922919,0.5576594999,0.5577183874,0.5691432061,0.616146257,0.6571290705
74,0.6647001076,0.5527880459,0.5530879935,0.5656938312,0.6111819325,0.6585521044
75,0.6598687155,0.548260188,0.5483556101,0.5612634038,0.6069445602,0.6536709422
76,0.6552823901,0.5435691591,0.5438203924,0.5567928801,0.6097482803,0.6491011642
77,0.6502743648,0.5390067374,0.5387439354,0.5523366437,0.6060976912,0.6455711639
78,0.6472215502,0.5341146915,0.5340403578,0.5560006246,0.6012481268,0.641292324
79,0.6436410327,0.5297482817,0.5291335005,0.5515312089,0.5973086972,0.6365988671
80,0.6397732553,0.5251629536,0.5239767965,0.5462559416,0.5929209903,0.631605013
81,0.6364733394,0.5207286365,0.5197600031,0.5415776768,0.5881464686,0.6278840121
82,0.6322756296,0.5165062043,0.5149106682,0.5367275493,0.5835916676,0.6228525448
83,0.6338856076,0.5120036455,0.5101253255,0.5317495354,0.5857615192,0.6175115965
