rounds,EBDP,PPIC_alpha2.0,PPIC_alpha1.5,PPIC_alpha1.0,PPIC_alpha0.5,PPIC_alpha0.1
100,419.9544356653,533.0817137967,524.8126999912,531.1317038322,518.9786861345,466.0662455653
200,683.8391086719,1027.570490445,1037.6564662703,1017.289898223,876.4272178468,723.9769353823
300,1010.040815998,1591.9953922929,1552.3452172101,1537.6353864501,1397.5316097753,1078.6127664542
400,1382.9877757451,2120.7356775906,2047.952597698,2046.3440957938,1879.4394056746,1488.4862464982
500,1757.4740541131,2645.9838015975,2546.0298622528,2557.2791950453,2315.1656283112,1902.6944290821
600,2107.3791887861,3133.1893764014,3036.0030402155,3067.6657024205,2787.4099506635,2270.433700265
700,2454.3064958643,3656.6454354791,3527.840221482,3558.9997818813,3303.916657058,2638.6833756211
800,2815.0470724701,4153.7552508163,4044.471415939,3983.2927769213,3734.1390870357,3019.0104276558
900,3172.5160954976,4563.9102028876,4487.4799837948,4427.3838632338,4189.5150540091,3390.4155776544
1000,3494.3369239229,4930.9587827525,4834.8342426206,4897.8022203522,4590.2857099709,3770.9369840021
1100,3880.6295669429,5388.4471675216,5269.3486628102,5301.7893307629,4972.7545695501,4112.3866681646
1200,4190.9184486676,5741.4244004832,5676.6729443251,5697.4343596121,5334.8017135585,4466.0676860686
1300,4529.4734100509,6145.6622277426,6113.834421695,6104.9303365744,5761.9240863126,4856.8707697917
1400,4833.855775724,6540.4646189235,6551.1863037726,6537.564502485,6128.3704310746,5202.1780395748
1500,5136.2728373423,6888.0428281112,6859.1686231772,6989.2293813031,6518.0481078385,5540.6393110777
1600,5451.073967464,7248.5436474278,7210.3909847716,7371.8945998881,6884.7791281866,5876.3337364688
1700,5788.0828923249,7549.2342673232,7611.5676226782,7803.3502213831,7214.5898419367,6252.026092884
1800,6086.3212349001,7918.4775673502,8005.1623593867,8225.9372640574,7580.1925000139,6560.6813649917
1900,6428.7922285636,8232.7701313355,8392.8859402071,8571.5519313936,7969.6412874727,6933.8211789172
2000,6739.6252127052,8541.109481299,8721.4166042845,8947.8550952582,8393.6213071584,7284.9820248713
2100,7082.0888713331,8889.190240936,9012.0180770053,9302.0671148477,8782.5165571754,7586.6264428732
2200,7376.9196654608,9227.577872931,9303.6568273961,9629.9173764828,9202.7814573527,7953.2228668443
2300,7663.3019035878,9517.2652442846,9639.5849541433,9995.6083108192,9539.9702253394,8249.1588014063
2400,7987.9812062027,9832.8555515055,10005.699282265,10332.5599125766,9890.9275055671,8583.6582983123
2500,8249.2550369568,10167.9932148419,10371.344932732,10691.891491644,10282.1940268903,8957.2205982577
2600,8594.2502292438,10469.4711096825,10712.5176391965,11074.8563820916,10622.7344110633,9289.828297495
2700,8906.6584292495,10756.0636331165,11017.6335080093,11482.6430264939,11022.4382939326,9667.5366904144
2800,9230.3506349721,11038.8940638667,11375.3130792743,11853.9460979763,11355.5078306331,9970.8446894625
2900,9524.5036270264,11402.7318653657,11735.0083633271,12262.4759817239,11712.9830507644,10283.5910108998
3000,9809.0921369324,11751.9418244855,12077.1302202562,12593.8445452904,12084.7306657712,10665.9556203837
3100,10129.6404057757,12087.7557544358,12374.3508051167,12965.2310833457,12509.346319683,11018.5838935393
3200,10384.079710871,12338.5262810497,12692.9413302994,13318.5595820023,12824.0108159693,11356.0777088885
3300,10701.9746939574,12537.1549911538,13082.0636616967,13673.5644607493,13208.2244812659,11683.9435784429
3400,10975.7024392439,12825.038851618,13347.0440551608,14107.6623014945,13584.798421138,12004.2882577729
3500,11331.465896235,13077.0196168233,13748.0059037961,14462.2568274377,13994.3143949908,12304.6820490645
3600,11619.0432697484,13400.3137735665,14196.4919084701,14852.7362915438,14305.813628648,12640.1934143031
3700,11937.0094904334,13687.9625997228,14478.2132426911,15301.7881298353,14656.1415808729,12943.0181026102
3800,12255.7642179762,13943.1221674557,14807.7597112964,15574.5284759019,15038.5676891749,13326.5259288377
3900,12576.8014550983,14222.864883271,15076.9889491403,15879.5142065342,15384.3540471574,13642.0600275692
4000,12886.7734828914,14583.6880798678,15400.6267084159,16175.1293507331,15740.1080266958,13940.1533172953
4100,13218.0181777599,14870.3083057141,15760.7482614742,16585.1524896655,16078.6719110239,14271.0275302924
4200,13540.4547390844,15199.045393312,16130.7559038845,16880.7471141405,16414.6953527716,14576.5425714939
4300,13863.1449365949,15534.540714085,16496.5630930423,17248.0476884955,16741.506949575,14930.0409598565
4400,14127.6846031545,15855.2507813884,16765.7761187659,17576.9693698484,17015.2452924877,15326.9393275788
4500,14443.3508816849,16176.979041632,17088.5150592347,17936.930885052,17406.8468874966,15632.1694013165
4600,14780.7432810628,16417.8571145825,17496.4045540327,18268.8495765737,17742.3767961718,15921.9614598161
4700,15028.1801530118,16718.4907310505,17809.7808672422,18620.8190354297,18140.4194521353,16234.0460445402
4800,15332.8673413002,16983.1920463172,18150.9979214961,19027.5432003965,18534.9435775174,16572.1699061343
4900,15611.9009226056,17255.3679497791,18542.8887363677,19426.5871665658,18842.247959181,16885.3198151546
5000,15906.9031463113,17579.3154947943,18857.9409857544,19744.4092543865,19169.6149298409,17244.3279720519
5100,16204.0277771854,17903.1803582443,19193.9592480333,20135.6858074975,19569.6527622963,17592.5503724862
